NewID,DATE_bugs,GENSPECIES,INDIV
BARK-0.6,8/19/2015,Centroptilum sp.,3
BARK-0.6,8/19/2015,Diphetor hageni,5
BARK-0.6,8/19/2015,Baetis flavistriga,17
BARK-0.6,8/19/2015,Baetis intercalaris,1
BARK-0.6,8/19/2015,Baetis tricaudatus,5
BARK-0.6,8/19/2015,Undetermined Ephemerellidae,1
BARK-0.6,8/19/2015,Hydropsyche betteni,2
BARK-0.6,8/19/2015,Undetermined Hydropsychidae,1
BARK-0.6,8/19/2015,Dubiraphia sp.,14
BARK-0.6,8/19/2015,Dubiraphia quadrinotata,4
BARK-0.6,8/19/2015,Optioservus fastiditus,3
BARK-0.6,8/19/2015,Optioservus sp.,7
BARK-0.6,8/19/2015,Undetermined Tipulidae,1
BARK-0.6,8/19/2015,Undetermined Ceratopogonidae,15
BARK-0.6,8/19/2015,Simulium sp.,1
BARK-0.6,8/19/2015,Undetermined Tabanidae,3
BARK-0.6,8/19/2015,Hemerodromia sp.,1
BARK-0.6,8/19/2015,Undetermined Tanypodinae,2
BARK-0.6,8/19/2015,Polypedilum aviceps,7
BARK-0.6,8/19/2015,Polypedilum flavum,2
BARK-0.6,8/19/2015,Paratanytarsus sp.,1
BARK-0.6,8/19/2015,Heterotrissocladius sp.,2
BARK-0.6,8/19/2015,Rheotanytarsus pellucidus,15
BARK-0.6,8/19/2015,Nilotanypus sp.,2
BARK-0.6,8/19/2015,Stempellinella sp.,5
BARK-0.6,8/19/2015,Rheotanytarsus exiguus gr.,7
BARK-0.6,8/19/2015,Tanytarsus glabrescens gr.,3
BARK-0.6,8/19/2015,Tanytarsus guerlus gr.,2
BARK-0.6,8/19/2015,Cricotopus bicinctus,7
BARK-0.6,8/19/2015,Thienemanniella xena,1
BARK-0.6,8/19/2015,Cryptochironomus sp.,1
BARK-0.6,8/19/2015,Undetermined Coenagrionidae,1
BARK-0.6,8/19/2015,Undetermined Physidae,19
BARK-0.6,8/19/2015,Undetermined Planorbidae,12
BARK-0.6,8/19/2015,Undetermined Pisidiidae,5
BARK-0.6,8/19/2015,Hyalella azteca,6
BARK-0.6,8/19/2015,Undet. Tubificidae w/ cap. setae,2
BARK-0.6,8/19/2015,Undet. Tubificidae w/o cap. setae,12
BARK-0.6,8/19/2015,Ophidonais serpentina,6
BEAG-01,7/22/2015,Cheumatopsyche sp.,1
BEAG-01,7/22/2015,Ceratopsyche sparna,3
BEAG-01,7/22/2015,Stenelmis sp.,1
BEAG-01,7/22/2015,Undetermined Culicidae,6
BEAG-01,7/22/2015,Chironomus decorus gr.,27
BEAG-01,7/22/2015,Polypedilum flavum,1
BEAG-01,7/22/2015,Tanytarsus curticornis gr.,1
BEAG-01,7/22/2015,Dicrotendipes simpsoni,1
BEAG-01,7/22/2015,Polypedilum illinoense,1
BEAG-01,7/22/2015,Paratanytarsus sp.,3
BEAG-01,7/22/2015,Undetermined Gomphidae,1
BEAG-01,7/22/2015,Undetermined Corixidae,2
BEAG-01,7/22/2015,Undetermined Saldidae,1
BEAG-01,7/22/2015,Undetermined Hemiptera,1
BEAG-01,7/22/2015,Undetermined Physidae,30
BEAG-01,7/22/2015,Undetermined Lymnaeidae,1
BEAG-01,7/22/2015,Undetermined Planorbidae,2
BEAG-01,7/22/2015,Undetermined Pisidiidae,2
BEAG-01,7/22/2015,Caecidotea sp.,38
BEAG-01,7/22/2015,Gammarus sp.,70
BEAG-01,7/22/2015,Undetermined Turbellaria,1
BEAG-01,7/22/2015,Undet. Tubificidae w/ cap. setae,2
BEAG-01,7/22/2015,Undet. Tubificidae w/o cap. setae,2
BEAG-01,7/22/2015,Undetermined Naididae,2
BEAG-01,7/22/2015,Undetermined Hirudinea,4
BERO-01,7/23/2015,Baetis intercalaris,14
BERO-01,7/23/2015,Cheumatopsyche sp.,4
BERO-01,7/23/2015,Hydropsyche betteni,28
BERO-01,7/23/2015,Ceratopsyche sparna,6
BERO-01,7/23/2015,Undetermined Hydropsychidae,26
BERO-01,7/23/2015,Hydroptila sp.,1
BERO-01,7/23/2015,Oecetis sp.,1
BERO-01,7/23/2015,Stenelmis crenata,1
BERO-01,7/23/2015,Stenelmis sp.,13
BERO-01,7/23/2015,Simulium sp.,6
BERO-01,7/23/2015,Microtendipes pedellus gr.,1
BERO-01,7/23/2015,Polypedilum flavum,63
BERO-01,7/23/2015,Polypedilum aviceps,1
BERO-01,7/23/2015,Parametriocnemus sp.,3
BERO-01,7/23/2015,Tanytarsus glabrescens gr.,2
BERO-01,7/23/2015,Cricotopus sp.,2
BERO-01,7/23/2015,Tvetenia bavarica gr.,5
BERO-01,7/23/2015,Rheotanytarsus exiguus gr.,2
BERO-01,7/23/2015,Stictochironomus sp.,1
BERO-01,7/23/2015,Thienemannimyia gr. spp.,1
BERO-01,7/23/2015,Cricotopus bicinctus,1
BERO-01,7/23/2015,Undetermined Pisidiidae,4
BERO-01,7/23/2015,Caecidotea sp.,26
BERO-01,7/23/2015,Gammarus sp.,32
BERO-01,7/23/2015,Undetermined Turbellaria,43
BERO-01,7/23/2015,Undet. Tubificidae w/o cap. setae,1
HARB-02,7/6/2015,Procloeon sp.,2
HARB-02,7/6/2015,Simulium sp.,1
HARB-02,7/6/2015,Prodiamesa sp.,2
HARB-02,7/6/2015,Fossaria sp.,183
HARB-02,7/6/2015,Caecidotea sp.,1
HARB-02,7/6/2015,Gammarus sp.,19
HARB-02,7/6/2015,Limnodrilus sp.,1
HARB-02,7/6/2015,Undet. Tubificidae w/ cap. setae,2
HARB-02,7/6/2015,Undet. Tubificidae w/o cap. setae,1
HARB-02,7/6/2015,Undetermined Hirudinea,1
HRBT-01,7/21/2015,Acerpenna sp.,7
HRBT-01,7/21/2015,Caenis sp.,9
HRBT-01,7/21/2015,Centroptilum sp.,1
HRBT-01,7/21/2015,Procloeon sp.,1
HRBT-01,7/21/2015,Cheumatopsyche sp.,25
HRBT-01,7/21/2015,Hydropsyche betteni,10
HRBT-01,7/21/2015,Hydroptila sp.,1
HRBT-01,7/21/2015,Oecetis sp.,1
HRBT-01,7/21/2015,Dubiraphia sp.,10
HRBT-01,7/21/2015,Stenelmis crenata,1
HRBT-01,7/21/2015,Stenelmis sp.,2
HRBT-01,7/21/2015,Pseudolimnophila sp.,2
HRBT-01,7/21/2015,Simulium sp.,2
HRBT-01,7/21/2015,Hemerodromia sp.,1
HRBT-01,7/21/2015,Thienemannimyia gr. spp.,8
HRBT-01,7/21/2015,Polypedilum illinoense,13
HRBT-01,7/21/2015,Microtendipes pedellus gr.,8
HRBT-01,7/21/2015,Polypedilum flavum,48
HRBT-01,7/21/2015,Rheotanytarsus exiguus gr.,17
HRBT-01,7/21/2015,Parametriocnemus sp.,1
HRBT-01,7/21/2015,Cricotopus bicinctus,5
HRBT-01,7/21/2015,Orthocladius sp.,2
HRBT-01,7/21/2015,Tanytarsus sp.,5
HRBT-01,7/21/2015,Stempellinella sp.,2
HRBT-01,7/21/2015,Chironomus sp.,1
HRBT-01,7/21/2015,Paratanytarsus sp.,5
HRBT-01,7/21/2015,Thienemanniella xena,1
HRBT-01,7/21/2015,Rheotanytarsus pellucidus,5
HRBT-01,7/21/2015,Cricotopus vierriensis,1
HRBT-01,7/21/2015,Dicrotendipes sp.,1
HRBT-01,7/21/2015,Undetermined Corixidae,1
HRBT-01,7/21/2015,Undetermined Coenagrionidae,2
HRBT-01,7/21/2015,Basiaeschna sp.,1
HRBT-01,7/21/2015,Ferrissia sp.,4
HRBT-01,7/21/2015,Undetermined Pisidiidae,3
HRBT-01,7/21/2015,Gammarus sp.,1
HRBT-01,7/21/2015,Undetermined Cambaridae,2
HRBT-01,7/21/2015,Undet. Tubificidae w/o cap. setae,1
LGSS-01,7/3/2015,Acerpenna sp.,7
LGSS-01,7/3/2015,Baetis tricaudatus,1
LGSS-01,7/3/2015,Procloeon sp.,1
LGSS-01,7/3/2015,Cheumatopsyche sp.,1
LGSS-01,7/3/2015,Hydropsyche betteni,1
LGSS-01,7/3/2015,Ceratopsyche morosa,1
LGSS-01,7/3/2015,Potamyia sp.,1
LGSS-01,7/3/2015,Agabus sp.,1
LGSS-01,7/3/2015,Optioservus sp.,8
LGSS-01,7/3/2015,Stenelmis sp.,3
LGSS-01,7/3/2015,Simulium sp.,18
LGSS-01,7/3/2015,Thienemannimyia gr. spp.,11
LGSS-01,7/3/2015,Polypedilum flavum,2
LGSS-01,7/3/2015,Cricotopus bicinctus,2
LGSS-01,7/3/2015,Microtendipes pedellus gr.,8
LGSS-01,7/3/2015,Micropsectra sp.,20
LGSS-01,7/3/2015,Cryptochironomus sp.,1
LGSS-01,7/3/2015,Tanytarsus sp.,4
LGSS-01,7/3/2015,Parametriocnemus sp.,1
LGSS-01,7/3/2015,Sympetrum sp.,1
LGSS-01,7/3/2015,Aeshna sp.,1
LGSS-01,7/3/2015,Undetermined Physidae,24
LGSS-01,7/3/2015,Undetermined Lymnaeidae,33
LGSS-01,7/3/2015,Undetermined Planorbidae,4
LGSS-01,7/3/2015,Undetermined Pisidiidae,32
LGSS-01,7/3/2015,Caecidotea sp.,1
LGSS-01,7/3/2015,Gammarus sp.,42
LGSS-01,7/3/2015,Undetermined Lumbricina,2
LGSS -02,7/8/2015,Baetis intercalaris,1
LGSS -02,7/8/2015,Undetermined Ceratopogonidae,7
LGSS -02,7/8/2015,Simulium sp.,7
LGSS -02,7/8/2015,Thienemannimyia gr. spp.,1
LGSS -02,7/8/2015,Potthastia gaedii gr.,1
LGSS -02,7/8/2015,Tanytarsus sp.,3
LGSS -02,7/8/2015,Limnophyes sp.,1
LGSS -02,7/8/2015,Aeshna sp.,2
LGSS -02,7/8/2015,Undetermined Physidae,39
LGSS -02,7/8/2015,Fossaria sp.,19
LGSS -02,7/8/2015,Undetermined Lymnaeidae,132
LGSS -02,7/8/2015,Undetermined Pisidiidae,2
LGSS -02,7/8/2015,Gammarus sp.,18
LGSS -02,7/8/2015,Undet. Tubificidae w/o cap. setae,6
LGSS -02,7/8/2015,Undetermined Hirudinea,4
LGSS-04,6/30/2015,Acerpenna macdunnoughi,26
LGSS-04,6/30/2015,Tricorythodes sp.,3
LGSS-04,6/30/2015,Perlesta sp.,6
LGSS-04,6/30/2015,Lype sp.,1
LGSS-04,6/30/2015,Cheumatopsyche sp.,10
LGSS-04,6/30/2015,Ceratopsyche bronta,1
LGSS-04,6/30/2015,Dineutus sp.,1
LGSS-04,6/30/2015,Undetermined Hydrophilidae,1
LGSS-04,6/30/2015,Dubiraphia quadrinotata,3
LGSS-04,6/30/2015,Dubiraphia sp.,8
LGSS-04,6/30/2015,Optioservus fastiditus,1
LGSS-04,6/30/2015,Optioservus sp.,3
LGSS-04,6/30/2015,Stenelmis sp.,2
LGSS-04,6/30/2015,Undetermined Ceratopogonidae,3
LGSS-04,6/30/2015,Simulium sp.,35
LGSS-04,6/30/2015,Hemerodromia sp.,2
LGSS-04,6/30/2015,Neoplasta sp.,1
LGSS-04,6/30/2015,Stictochironomus sp.,13
LGSS-04,6/30/2015,Microtendipes pedellus gr.,33
LGSS-04,6/30/2015,Undetermined Tanypodinae,2
LGSS-04,6/30/2015,Cricotopus bicinctus,2
LGSS-04,6/30/2015,Cryptochironomus fulvus gr.,5
LGSS-04,6/30/2015,Polypedilum flavum,5
LGSS-04,6/30/2015,Polypedilum scalaenum gr.,5
LGSS-04,6/30/2015,Rheotanytarsus exiguus gr.,15
LGSS-04,6/30/2015,Tanytarsus glabrescens gr.,8
LGSS-04,6/30/2015,Undetermined Tanytarsini,1
LGSS-04,6/30/2015,Thienemannimyia gr. spp.,6
LGSS-04,6/30/2015,Polypedilum aviceps,1
LGSS-04,6/30/2015,Phaenopsectra dyari?,9
LGSS-04,6/30/2015,Chironomus sp.,3
LGSS-04,6/30/2015,Cladotanytarsus sp.,10
LGSS-04,6/30/2015,Paratendipes sp.,1
LGSS-04,6/30/2015,Natarsia sp.,3
LGSS-04,6/30/2015,Undetermined Corixidae,6
LGSS-04,6/30/2015,Undetermined Veliidae,1
LGSS-04,6/30/2015,Calopteryx sp.,2
LGSS-04,6/30/2015,Undetermined Physidae,9
LGSS-04,6/30/2015,Undetermined Lymnaeidae,4
LGSS-04,6/30/2015,Ferrissia sp.,1
LGSS-04,6/30/2015,Undetermined Pisidiidae,15
LGSS-04,6/30/2015,Hyalella azteca,5
LGSS-04,6/30/2015,Undetermined Cambaridae,4
LGSS-04,6/30/2015,Undet. Tubificidae w/ cap. setae,6
LGSS-04,6/30/2015,Undet. Tubificidae w/o cap. setae,5
LGSS-05,7/8/2015,Dubiraphia sp.,1
LGSS-05,7/8/2015,Undetermined Physidae,13
LGSS-05,7/8/2015,Undetermined Lymnaeidae,1
LGSS-05,7/8/2015,Undetermined Pisidiidae,2
LGSS-05,7/8/2015,Caecidotea sp.,23
LGSS-05,7/8/2015,Gammarus sp.,315
LGSS-05,7/8/2015,Hyalella azteca,2
LGSS-05,7/8/2015,Undetermined Cambaridae,31
LGSS-05,7/8/2015,Undetermined Turbellaria,3
LGSS-05,7/8/2015,Undetermined Hirudinea,1
LGSS-06,7/7/2015,Centroptilum sp.,1
LGSS-06,7/7/2015,Caenis sp.,3
LGSS-06,7/7/2015,Cheumatopsyche sp.,1
LGSS-06,7/7/2015,Peltodytes sp.,5
LGSS-06,7/7/2015,Undetermined Hydrophilidae,3
LGSS-06,7/7/2015,Dubiraphia sp.,1
LGSS-06,7/7/2015,Dubiraphia vittata,1
LGSS-06,7/7/2015,Atrichopogon sp.,1
LGSS-06,7/7/2015,Hemerodromia sp.,1
LGSS-06,7/7/2015,Cricotopus sylvestris gr.,2
LGSS-06,7/7/2015,Procladius sp.,1
LGSS-06,7/7/2015,Dicrotendipes modestus,1
LGSS-06,7/7/2015,Cricotopus bicinctus,11
LGSS-06,7/7/2015,Polypedilum illinoense,31
LGSS-06,7/7/2015,Paratanytarsus sp.,5
LGSS-06,7/7/2015,Thienemannimyia gr. spp.,1
LGSS-06,7/7/2015,Dicrotendipes neomodestus,1
LGSS-06,7/7/2015,Microtendipes pedellus gr.,1
LGSS-06,7/7/2015,Rheotanytarsus exiguus gr.,2
LGSS-06,7/7/2015,Aeshna sp.,3
LGSS-06,7/7/2015,Undetermined Physidae,5
LGSS-06,7/7/2015,Undetermined Lymnaeidae,3
LGSS-06,7/7/2015,Helisoma sp.,2
LGSS-06,7/7/2015,Undetermined Planorbidae,1
LGSS-06,7/7/2015,Viviparus georgianus,46
LGSS-06,7/7/2015,Undetermined Pisidiidae,2
LGSS-06,7/7/2015,Caecidotea sp.,13
LGSS-06,7/7/2015,Gammarus sp.,63
LGSS-06,7/7/2015,Undetermined Cambaridae,12
LGSS-06,7/7/2015,Undet. Tubificidae w/ cap. setae,1
LGSS-06,7/7/2015,Ophidonais serpentina,3
LGSS-06,7/7/2015,Undetermined Naididae,1
LGSS-06,7/7/2015,Undetermined Hirudinea,1
LGSS-14,8/12/2015,Cheumatopsyche sp.,1
LGSS-14,8/12/2015,Hydroptila sp.,2
LGSS-14,8/12/2015,Lype diversa,2
LGSS-14,8/12/2015,Ancyronyx variegatus,10
LGSS-14,8/12/2015,Stenelmis crenata,2
LGSS-14,8/12/2015,Dubiraphia sp.,6
LGSS-14,8/12/2015,Undetermined Gyrinidae,1
LGSS-14,8/12/2015,Microtendipes pedellus gr.,2
LGSS-14,8/12/2015,Conchapelopia sp.,1
LGSS-14,8/12/2015,Dicrotendipes neomodestus,1
LGSS-14,8/12/2015,Polypedilum illinoense,9
LGSS-14,8/12/2015,Cricotopus bicinctus,21
LGSS-14,8/12/2015,Tanytarsus glabrescens gr.,3
LGSS-14,8/12/2015,Cladotanytarsus sp.,1
LGSS-14,8/12/2015,Paratendipes albimanus,1
LGSS-14,8/12/2015,Rheotanytarsus sp.,2
LGSS-14,8/12/2015,Aeshna sp.,1
LGSS-14,8/12/2015,Trichocorixa sp.,75
LGSS-14,8/12/2015,Undetermined Notonectidae,1
LGSS-14,8/12/2015,Ranatra sp.,1
LGSS-14,8/12/2015,Undetermined Pleidae,1
LGSS-14,8/12/2015,Ferrissia sp.,6
LGSS-14,8/12/2015,Physella sp.,23
LGSS-14,8/12/2015,Sphaerium sp.,1
LGSS-14,8/12/2015,Undetermined Valvatidae,9
LGSS-14,8/12/2015,Helisoma anceps,1
LGSS-14,8/12/2015,Gammarus sp.,38
LGSS-14,8/12/2015,Caecidotea sp.,1
LGSS-14,8/12/2015,Orconectes rusticus,2
LGSS-19,6/30/2015,Baetis tricaudatus,9
LGSS-19,6/30/2015,Ephemerella sp.,1
LGSS-19,6/30/2015,Undetermined Leuctridae,8
LGSS-19,6/30/2015,Amphinemura sp.,1
LGSS-19,6/30/2015,Perlesta sp.,1
LGSS-19,6/30/2015,Lepidostoma sp.,30
LGSS-19,6/30/2015,Limnephilus sp.,4
LGSS-19,6/30/2015,Dubiraphia quadrinotata,1
LGSS-19,6/30/2015,Dubiraphia sp.,1
LGSS-19,6/30/2015,Optioservus fastiditus,2
LGSS-19,6/30/2015,Simulium sp.,11
LGSS-19,6/30/2015,Neoplasta sp.,2
LGSS-19,6/30/2015,Procladius sp.,5
LGSS-19,6/30/2015,Stictochironomus sp.,24
LGSS-19,6/30/2015,Dicrotendipes neomodestus,2
LGSS-19,6/30/2015,Polypedilum illinoense,1
LGSS-19,6/30/2015,Paratendipes sp.,8
LGSS-19,6/30/2015,Prodiamesa sp.,2
LGSS-19,6/30/2015,Odontomesa sp.,1
LGSS-19,6/30/2015,Polypedilum aviceps,5
LGSS-19,6/30/2015,Cricotopus tremulus gr.,2
LGSS-19,6/30/2015,Brillia parva,1
LGSS-19,6/30/2015,Heterotrissocladius sp.,13
LGSS-19,6/30/2015,Paraphaenocladius sp.,1
LGSS-19,6/30/2015,Thienemannimyia gr. spp.,2
LGSS-19,6/30/2015,Paralauterborniella nigrohalteralis,1
LGSS-19,6/30/2015,Tanytarsus glabrescens gr.,5
LGSS-19,6/30/2015,Cricotopus bicinctus,6
LGSS-19,6/30/2015,Tribelos sp.,1
LGSS-19,6/30/2015,Paracladopelma sp.,2
LGSS-19,6/30/2015,Eukiefferiella brevicalcar gr.,1
LGSS-19,6/30/2015,Limnophyes sp.,1
LGSS-19,6/30/2015,Tanytarsus guerlus gr.,3
LGSS-19,6/30/2015,Micropsectra sp.,1
LGSS-19,6/30/2015,Tvetenia vitracies,1
LGSS-19,6/30/2015,Fossaria sp.,3
LGSS-19,6/30/2015,Undetermined Lymnaeidae,1
LGSS-19,6/30/2015,Undetermined Planorbidae,5
LGSS-19,6/30/2015,Undetermined Pisidiidae,31
LGSS-19,6/30/2015,Natarsia sp.,1
LGSS-19,6/30/2015,Undetermined Enchytraeidae,3
LGSS-21,7/3/2015,Procloeon sp.,4
LGSS-21,7/3/2015,Microtendipes pedellus gr.,2
LGSS-21,7/3/2015,Thienemannimyia gr. spp.,1
LGSS-21,7/3/2015,Stictochironomus sp.,36
LGSS-21,7/3/2015,Cricotopus bicinctus,4
LGSS-21,7/3/2015,Brillia sp.,1
LGSS-21,7/3/2015,Microtendipes pedellus gr.,4
