MACRO_GENSPECIES,PHYLUM,CLAS,ORDR,FAMILY,SUBFAMILY,HBI_TOLERANCE,FEEDINGHAB,REFERENCE,CLASSIFIER,PREVNAMES,TOLNAME,NBI-P_TOLERANCE,NBI-N_TOLERANCE,MACRO_TSN
Ablabesmyia annulata,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,8,prd,95,Chironomidae,Ablabesmyia sp. 4,tolerant,,,128081
Ablabesmyia aspera,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,8,prd,95,Chironomidae,,tolerant,,,128083
Ablabesmyia idei,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,8,prd,95,Chironomidae,,tolerant,,,128090
Ablabesmyia illinoensis,Arthropoda,INSECTA,Diptera,Chironomidae,Tanypodinae,8,prd,,Chironomidae,,tolerant,,,128092
Ablabesmyia janta,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,8,prd,95,Chironomidae,,tolerant,,,128093
Ablabesmyia mallochi,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,8,prd,95,Chironomidae,,tolerant,,,128097
Ablabesmyia monilis,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,8,prd,95,Chironomidae,"Ablabesmyia basalis, Ablabesmyia parajanta",tolerant,,,128107
Ablabesmyia peleensis,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,8,prd,95,Chironomidae,,tolerant,,,128113
Ablabesmyia philosphagnos,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,8,prd,95,Chironomidae,,tolerant,,,128115
Ablabesmyia rhamphe,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,8,prd,36,Chironomidae,,tolerant,,,128121
Ablabesmyia simpsoni,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,8,prd,95,Chironomidae,,tolerant,,,128123
Ablabesmyia sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,8,prd,95,Chironomidae,,tolerant,,,128079
Acentrella ampla,ARTHROPODA,INSECTA,EPHEMEROPTERA,Baetidae,,6,c-g,"74,119",Ephemeroptera,Baetis amplus,facultative,,,568571
Acentrella sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Baetidae,,4,c-g,83,Ephemeroptera,Pseudocloeon sp.,intolerant,5,5,100801
Acentrella turbida,ARTHROPODA,INSECTA,EPHEMEROPTERA,Baetidae,,4,c-g,83,Ephemeroptera,,intolerant,,,568574
Acentria sp.,ARTHROPODA,INSECTA,LEPIDOPTERA,Pyralidae,,5,shr,"83,66",Insects-other,,facultative,,,117741
Acerpenna macdunnoughi,ARTHROPODA,INSECTA,EPHEMEROPTERA,Baetidae,,5,c-g,"74,120",Ephemeroptera,Baetis macdunnoughi,facultative,,,568671
Acerpenna pygmaea,ARTHROPODA,INSECTA,EPHEMEROPTERA,Baetidae,,4,c-g,"74,120",Ephemeroptera,Baetis pygmaeus,intolerant,0,4,206620
Acerpenna sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Baetidae,,4,c-g,"74,120",Ephemeroptera,,intolerant,,,568546
Acricotopus nitidellus,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,10,c-g,"124,36",Chironomidae,Acricotopus sp.,tolerant,,,128466
Acricotopus sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,10,c-g,"124,36",Chironomidae,,tolerant,,,128463
Acroneuria abnormis,ARTHROPODA,INSECTA,PLECOPTERA,Perlidae,,0,prd,"55,114",Plecoptera,,intolerant,0,0,102919
Acroneuria arenosa,ARTHROPODA,INSECTA,PLECOPTERA,Perlidae,,0,prd,"55, 114",Plecoptera,,intolerant,,,102920
Acroneuria carolinensis,ARTHROPODA,INSECTA,PLECOPTERA,Perlidae,,0,prd,"55,114",Plecoptera,,intolerant,,,102922
Acroneuria lycorias,ARTHROPODA,INSECTA,PLECOPTERA,Perlidae,,0,prd,"55,114",Plecoptera,,intolerant,,,102918
Acroneuria sp.,ARTHROPODA,INSECTA,PLECOPTERA,Perlidae,,0,prd,"55,114",Plecoptera,,intolerant,0,0,102917
Adicrophleps hitchcocki,ARTHROPODA,INSECTA,TRICHOPTERA,Brachycentridae,,2,shr,125,Trichoptera,,intolerant,,,116957
Adicrophleps sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Brachycentridae,,2,shr,125,Trichoptera,,intolerant,,,116956
Aeolosoma headleyi?,ANNELIDA,APHANONEURA,AEOLOSOMATIDA,Aeolosomatidae,,8,c-f,29,Other,,tolerant,,,68426
Aeolosoma leidyi?,ANNELIDA,APHANONEURA,AEOLOSOMATIDA,Aeolosomatidae,,8,c-f,29,Other,,tolerant,,,68430
Aeolosoma quarternarium?,ANNELIDA,APHANONEURA,AEOLOSOMATIDA,Aeolosomatidae,,8,c-f,29,Other,,tolerant,,,
Aeolosoma sp.,ANNELIDA,APHANONEURA,AEOLODOMATIDA,Aeolosomatidae,,8,c-f,29,Other,,tolerant,,,68424
Aeolosoma tenebrarum?,ANNELIDA,APHANONEURA,AEOLOSOMATIDA,Aeolosomatidae,,8,c-f,29,Other,,tolerant,,,68428
