org_id,final_tsn,final_id,kingdom,subkingdom,infrakingdom,superphylum,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,subgenus,species,subspecies
ablabesmyia_annulata,128081,ablabesmyia_annulata,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,,ablabesmyia,,ablabesmyia_annulata,
ablabesmyia_aspera,128083,ablabesmyia_aspera,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,,ablabesmyia,,ablabesmyia_aspera,
ablabesmyia_idei,128090,ablabesmyia_idei,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,,ablabesmyia,,ablabesmyia_idei,
ablabesmyia_illinoensis,128092,ablabesmyia_illinoensis,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,,ablabesmyia,,ablabesmyia_illinoensis,
ablabesmyia_janta,128093,ablabesmyia_janta,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,,ablabesmyia,,ablabesmyia_janta,
ablabesmyia_mallochi,128097,ablabesmyia_mallochi,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,,ablabesmyia,,ablabesmyia_mallochi,
ablabesmyia_monilis,128107,ablabesmyia_monilis,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,,ablabesmyia,,ablabesmyia_monilis,
ablabesmyia_peleensis,128113,ablabesmyia_peleensis,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,,ablabesmyia,,ablabesmyia_peleensis,
ablabesmyia_philosphagnos,128115,ablabesmyia_philosphagnos,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,,ablabesmyia,,ablabesmyia_philosphagnos,
ablabesmyia_rhamphe,128121,ablabesmyia_rhamphe,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,,ablabesmyia,,ablabesmyia_rhamphe,
ablabesmyia_simpsoni,128123,ablabesmyia_simpsoni,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,,ablabesmyia,,ablabesmyia_simpsoni,
ablabesmyia,128079,ablabesmyia,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,,ablabesmyia,,,
acentrella_ampla,776946,heterocloeon_amplum,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,ephemeroptera,pisciforma,,,baetidae,,,,heterocloeon,,heterocloeon_amplum,
acentrella,100801,acentrella,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,ephemeroptera,pisciforma,,,baetidae,,,,acentrella,,,
acentrella_turbida,568574,acentrella_turbida,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,ephemeroptera,pisciforma,,,baetidae,,,,acentrella,,acentrella_turbida,
acentria,117741,acentria,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,lepidoptera,,,pyraloidea,crambidae,nymphulinae,acentropini,,acentria,,,
acerpenna_macdunnoughi,568671,acerpenna_macdunnoughi,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,ephemeroptera,pisciforma,,,baetidae,,,,acerpenna,,acerpenna_macdunnoughi,
acerpenna_pygmaea,206620,acerpenna_pygmaea,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,ephemeroptera,pisciforma,,,baetidae,,,,acerpenna,,acerpenna_pygmaea,
acerpenna,568546,acerpenna,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,ephemeroptera,pisciforma,,,baetidae,,,,acerpenna,,,
