found,author,combinedName,kingdom,tsn,unitInd1,unitInd2,unitInd3,unitInd4,unitName1,unitName2,unitName3,unitName4,final_id,full_hierarchy
TRUE,"(Say, 1823)",ablabesmyia annulata,Animalia,128081,,,,,Ablabesmyia,annulata,,,ablabesmyia_annulata,TRUE
TRUE,"(Roback, 1959)",ablabesmyia aspera,Animalia,128083,,,,,Ablabesmyia,aspera,,,ablabesmyia_aspera,TRUE
TRUE,"(Walley, 1925)",ablabesmyia idei,Animalia,128090,,,,,Ablabesmyia,idei,,,ablabesmyia_idei,TRUE
TRUE,"Malloch, 1915",ablabesmyia illinoensis,Animalia,128092,,,,,Ablabesmyia,illinoensis,,,ablabesmyia_illinoensis,TRUE
TRUE,"(Roback, 1959)",ablabesmyia janta,Animalia,128093,,,,,Ablabesmyia,janta,,,ablabesmyia_janta,TRUE
TRUE,"(Walley, 1925)",ablabesmyia mallochi,Animalia,128097,,,,,Ablabesmyia,mallochi,,,ablabesmyia_mallochi,TRUE
TRUE,"(Linnaeus, 1758)",ablabesmyia monilis,Animalia,128107,,,,,Ablabesmyia,monilis,,,ablabesmyia_monilis,TRUE
TRUE,"(Walley, 1926)",ablabesmyia peleensis,Animalia,128113,,,,,Ablabesmyia,peleensis,,,ablabesmyia_peleensis,TRUE
TRUE,"Beck and Beck, 1966",ablabesmyia philosphagnos,Animalia,128115,,,,,Ablabesmyia,philosphagnos,,,ablabesmyia_philosphagnos,TRUE
TRUE,"Sublette, 1964",ablabesmyia rhamphe,Animalia,128121,,,,,Ablabesmyia,rhamphe,,,ablabesmyia_rhamphe,TRUE
TRUE,"Roback, 1985",ablabesmyia simpsoni,Animalia,128123,,,,,Ablabesmyia,simpsoni,,,ablabesmyia_simpsoni,TRUE
TRUE,"Johannsen, 1905",ablabesmyia,Animalia,128079,,,,,Ablabesmyia,,,,ablabesmyia,TRUE
TRUE,"Traver, 1932",acentrella ampla,Animalia,568571,,,,,Acentrella,ampla,,,acentrella_ampla,TRUE
TRUE,"Bengtsson, 1912",acentrella,Animalia,100801,,,,,Acentrella,,,,acentrella,TRUE
TRUE,"(McDunnough, 1924)",acentrella turbida,Animalia,568574,,,,,Acentrella,turbida,,,acentrella_turbida,TRUE
TRUE,"Stephens, 1829",acentria,Animalia,117741,,,,,Acentria,,,,acentria,TRUE
TRUE,"(Ide, 1937)",acerpenna macdunnoughi,Animalia,568671,,,,,Acerpenna,macdunnoughi,,,acerpenna_macdunnoughi,TRUE
TRUE,"(Hagen, 1861)",acerpenna pygmaea,Animalia,206620,,,,,Acerpenna,pygmaea,,,acerpenna_pygmaea,TRUE
TRUE,"Waltz and McCafferty, 1987",acerpenna,Animalia,568546,,,,,Acerpenna,,,,acerpenna,TRUE
TRUE,"(Malloch, 1915)",acricotopus nitidellus,Animalia,128466,,,,,Acricotopus,nitidellus,,,acricotopus_nitidellus,TRUE
TRUE,,acricotopus,Animalia,128463,,,,,Acricotopus,,,,acricotopus,TRUE
TRUE,"(Newman, 1838)",acroneuria abnormis,Animalia,102919,,,,,Acroneuria,abnormis,,,acroneuria_abnormis,TRUE
TRUE,"(Pictet, 1841)",acroneuria arenosa,Animalia,102920,,,,,Acroneuria,arenosa,,,acroneuria_arenosa,TRUE
TRUE,"(Banks, 1905)",acroneuria carolinensis,Animalia,102922,,,,,Acroneuria,carolinensis,,,acroneuria_carolinensis,TRUE
TRUE,"(Newman, 1839)",acroneuria lycorias,Animalia,102918,,,,,Acroneuria,lycorias,,,acroneuria_lycorias,TRUE
TRUE,"Pictet, 1841",acroneuria,Animalia,102917,,,,,Acroneuria,,,,acroneuria,TRUE
TRUE,"Flint, 1965",adicrophleps hitchcocki,Animalia,116957,,,,,Adicrophleps,hitchcocki,,,adicrophleps_hitchcocki,TRUE
TRUE,"Flint, 1965",adicrophleps,Animalia,116956,,,,,Adicrophleps,,,,adicrophleps,TRUE
TRUE,"Beddard, 1888",aeolosoma headleyi,Animalia,68426,,,,,Aeolosoma,headleyi,,,aeolosoma_headleyi,TRUE
TRUE,"Cragin, 1887",aeolosoma leidyi,Animalia,68430,,,,,Aeolosoma,leidyi,,,aeolosoma_leidyi,TRUE
TRUE,"Ehrenberg, 1828",aeolosoma,Animalia,68424,,,,,Aeolosoma,,,,aeolosoma_quarternarium,FALSE
