final_id,macro_genspecies,tol_int,tol_char,tol_p_int,tol_n_int,ffg,reference,prevnames,final_tsn,final_id.y,kingdom,subkingdom,infrakingdom,superphylum,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,subgenus,species,subspecies,org_id
ablabesmyia_annulata,ablabesmyia_annulata,8,tolerant,,,predator,95,ablabesmyia_sp._4,128081,ablabesmyia_annulata,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,"",chironomidae,tanypodinae,pentaneurini,"",ablabesmyia,"",ablabesmyia_annulata,"",
ablabesmyia_aspera,ablabesmyia_aspera,8,tolerant,,,predator,95,"",128083,ablabesmyia_aspera,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,"",chironomidae,tanypodinae,pentaneurini,"",ablabesmyia,"",ablabesmyia_aspera,"",
ablabesmyia_idei,ablabesmyia_idei,8,tolerant,,,predator,95,"",128090,ablabesmyia_idei,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,"",chironomidae,tanypodinae,pentaneurini,"",ablabesmyia,"",ablabesmyia_idei,"",
ablabesmyia_illinoensis,ablabesmyia_illinoensis,8,tolerant,,,predator,"","",128092,ablabesmyia_illinoensis,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,"",chironomidae,tanypodinae,pentaneurini,"",ablabesmyia,"",ablabesmyia_illinoensis,"",
ablabesmyia_janta,ablabesmyia_janta,8,tolerant,,,predator,95,"",128093,ablabesmyia_janta,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,"",chironomidae,tanypodinae,pentaneurini,"",ablabesmyia,"",ablabesmyia_janta,"",
ablabesmyia_mallochi,ablabesmyia_mallochi,8,tolerant,,,predator,95,"",128097,ablabesmyia_mallochi,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,"",chironomidae,tanypodinae,pentaneurini,"",ablabesmyia,"",ablabesmyia_mallochi,"",
ablabesmyia_monilis,ablabesmyia_monilis,8,tolerant,,,predator,95,"ablabesmyia_basalis,_ablabesmyia_parajanta",128107,ablabesmyia_monilis,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,"",chironomidae,tanypodinae,pentaneurini,"",ablabesmyia,"",ablabesmyia_monilis,"",
ablabesmyia_peleensis,ablabesmyia_peleensis,8,tolerant,,,predator,95,"",128113,ablabesmyia_peleensis,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,"",chironomidae,tanypodinae,pentaneurini,"",ablabesmyia,"",ablabesmyia_peleensis,"",
ablabesmyia_philosphagnos,ablabesmyia_philosphagnos,8,tolerant,,,predator,95,"",128115,ablabesmyia_philosphagnos,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,"",chironomidae,tanypodinae,pentaneurini,"",ablabesmyia,"",ablabesmyia_philosphagnos,"",
ablabesmyia_rhamphe,ablabesmyia_rhamphe,8,tolerant,,,predator,36,"",128121,ablabesmyia_rhamphe,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,"",chironomidae,tanypodinae,pentaneurini,"",ablabesmyia,"",ablabesmyia_rhamphe,"",
ablabesmyia_simpsoni,ablabesmyia_simpsoni,8,tolerant,,,predator,95,"",128123,ablabesmyia_simpsoni,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,"",chironomidae,tanypodinae,pentaneurini,"",ablabesmyia,"",ablabesmyia_simpsoni,"",
ablabesmyia,ablabesmyia_sp.,8,tolerant,,,predator,95,"",128079,ablabesmyia,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,"",chironomidae,tanypodinae,pentaneurini,"",ablabesmyia,"","","",
acentrella_ampla,acentrella_ampla,6,facultative,,,gatherer,"74,119",baetis_amplus,776946,heterocloeon_amplum,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,"",ephemeroptera,pisciforma,"","",baetidae,"","","",heterocloeon,"",heterocloeon_amplum,"",
acentrella,acentrella_sp.,4,intolerant,5,5,gatherer,83,pseudocloeon_sp.,100801,acentrella,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,"",ephemeroptera,pisciforma,"","",baetidae,"","","",acentrella,"","","",
acentrella_turbida,acentrella_turbida,4,intolerant,,,gatherer,83,"",568574,acentrella_turbida,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,"",ephemeroptera,pisciforma,"","",baetidae,"","","",acentrella,"",acentrella_turbida,"",
acentria,acentria_sp.,5,facultative,,,shredder,"83,66","",117741,acentria,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,lepidoptera,"","",pyraloidea,crambidae,nymphulinae,acentropini,"",acentria,"","","",
acerpenna_macdunnoughi,acerpenna_macdunnoughi,5,facultative,,,gatherer,"74,120",baetis_macdunnoughi,568671,acerpenna_macdunnoughi,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,"",ephemeroptera,pisciforma,"","",baetidae,"","","",acerpenna,"",acerpenna_macdunnoughi,"",
acerpenna_pygmaea,acerpenna_pygmaea,4,intolerant,0,4,gatherer,"74,120",baetis_pygmaeus,206620,acerpenna_pygmaea,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,"",ephemeroptera,pisciforma,"","",baetidae,"","","",acerpenna,"",acerpenna_pygmaea,"",
acerpenna,acerpenna_sp.,4,intolerant,,,gatherer,"74,120","",568546,acerpenna,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,"",ephemeroptera,pisciforma,"","",baetidae,"","","",acerpenna,"","","",
acricotopus_nitidellus,acricotopus_nitidellus,10,tolerant,,,gatherer,"124,36",acricotopus_sp.,128466,acricotopus_nitidellus,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,"",chironomidae,orthocladiinae,"","",acricotopus,"",acricotopus_nitidellus,"",
acricotopus,acricotopus_sp.,10,tolerant,,,gatherer,"124,36","",128463,acricotopus,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,"",chironomidae,orthocladiinae,"","",acricotopus,"","","",
acroneuria_abnormis,acroneuria_abnormis,0,intolerant,0,0,predator,"55,114","",102919,acroneuria_abnormis,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,systellognatha,"","",perlidae,acroneuriinae,acroneuriini,"",acroneuria,"",acroneuria_abnormis,"",
acroneuria_arenosa,acroneuria_arenosa,0,intolerant,,,predator,"55,_114","",102920,acroneuria_arenosa,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,systellognatha,"","",perlidae,acroneuriinae,acroneuriini,"",acroneuria,"",acroneuria_arenosa,"",
acroneuria_carolinensis,acroneuria_carolinensis,0,intolerant,,,predator,"55,114","",102922,acroneuria_carolinensis,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,systellognatha,"","",perlidae,acroneuriinae,acroneuriini,"",acroneuria,"",acroneuria_carolinensis,"",
acroneuria_lycorias,acroneuria_lycorias,0,intolerant,,,predator,"55,114","",102918,acroneuria_lycorias,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,systellognatha,"","",perlidae,acroneuriinae,acroneuriini,"",acroneuria,"",acroneuria_lycorias,"",
acroneuria,acroneuria_sp.,0,intolerant,0,0,predator,"55,114","",102917,acroneuria,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,systellognatha,"","",perlidae,acroneuriinae,acroneuriini,"",acroneuria,"","","",
adicrophleps_hitchcocki,adicrophleps_hitchcocki,2,intolerant,,,shredder,125,"",116957,adicrophleps_hitchcocki,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,trichoptera,"","",limnephiloidea,brachycentridae,"","","",adicrophleps,"",adicrophleps_hitchcocki,"",
adicrophleps,adicrophleps_sp.,2,intolerant,,,shredder,125,"",116956,adicrophleps,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,trichoptera,"","",limnephiloidea,brachycentridae,"","","",adicrophleps,"","","",
aeolosoma_headleyi,aeolosoma_headleyi?,8,tolerant,,,filterer,29,"",68426,aeolosoma_headleyi,animalia,bilateria,protostomia,lophozoa,annelida,"","","","","","","","","",aeolosomatidae,"","","",aeolosoma,"",aeolosoma_headleyi,"",
aeolosoma_leidyi,aeolosoma_leidyi?,8,tolerant,,,filterer,29,"",68430,aeolosoma_leidyi,animalia,bilateria,protostomia,lophozoa,annelida,"","","","","","","","","",aeolosomatidae,"","","",aeolosoma,"",aeolosoma_leidyi,"",
aeolosoma_quarternarium,aeolosoma_quarternarium?,8,tolerant,,,filterer,29,"",68424,aeolosoma,animalia,bilateria,protostomia,lophozoa,annelida,"","","","","","","","","",aeolosomatidae,"","","",aeolosoma,"",aeolosoma_quarternarium,"",
aeolosoma,aeolosoma_sp.,8,tolerant,,,filterer,29,"",68424,aeolosoma,animalia,bilateria,protostomia,lophozoa,annelida,"","","","","","","","","",aeolosomatidae,"","","",aeolosoma,"","","",
aeolosoma_tenebrarum,aeolosoma_tenebrarum?,8,tolerant,,,filterer,29,"",68428,aeolosoma_tenebrarum,animalia,bilateria,protostomia,lophozoa,annelida,"","","","","","","","","",aeolosomatidae,"","","",aeolosoma,"",aeolosoma_tenebrarum,"",
aeolosoma_travancorense,aeolosoma_travancorense?,8,tolerant,,,filterer,29,"",68424,aeolosoma,animalia,bilateria,protostomia,lophozoa,annelida,"","","","","","","","","",aeolosomatidae,"","","",aeolosoma,"",aeolosoma_travancorense,"",
aeshna,aeshna_sp.,5,facultative,,,predator,122,"",101603,aeshna,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,"",odonata,anisoptera,"","",aeshnidae,"","","",aeshna,"","","",
agabetes,agabetes_sp.,5,facultative,,,predator,"83,123","",112072,agabetes,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,coleoptera,adephaga,"","",dytiscidae,laccophilinae,agabetini,"",agabetes,"","","",
agabus,agabus_sp.,5,facultative,,,predator,"83,123","",111966,agabus,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,coleoptera,adephaga,"","",dytiscidae,agabinae,agabini,"",agabus,"","","",
agapetus,agapetus_sp.,0,intolerant,,,scraper,125,"",117121,agapetus,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,trichoptera,"","",glossosomatoidea,glossosomatidae,agapetinae,"","",agapetus,"","","",
agarodes,agarodes_sp.,,"",,,"","","",116983,agarodes,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,trichoptera,"","",sericostomatoidea,sericostomatidae,"","","",agarodes,"","","",
agnetina_annulipes,agnetina_annulipes,2,intolerant,,,predator,"112,114","",102983,agnetina_annulipes,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,systellognatha,"","",perlidae,perlinae,perlini,"",agnetina,"",agnetina_annulipes,"",
agnetina_capitata,agnetina_capitata,2,intolerant,3,6,predator,"112,114","phasganophora_capitata,_neophasganophora_capitata",102979,agnetina_capitata,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,systellognatha,"","",perlidae,perlinae,perlini,"",agnetina,"",agnetina_capitata,"",
agnetina_flavescens,agnetina_flavescens,2,intolerant,,,predator,"112,114","",102984,agnetina_flavescens,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,systellognatha,"","",perlidae,perlinae,perlini,"",agnetina,"",agnetina_flavescens,"",
agnetina,agnetina_sp.,2,intolerant,,,predator,"112,114","",102975,agnetina,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,systellognatha,"","",perlidae,perlinae,perlini,"",agnetina,"","","",
agraylea,agraylea_sp.,8,tolerant,,,gatherer,125,"",115635,agraylea,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,trichoptera,"","",hydroptiloidea,hydroptilidae,hydroptilinae,hydroptilini,"",agraylea,"","","",
alisotrichia,alisotrichia_sp.,6,facultative,,,scraper,125,"",181197,alisotrichia,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,trichoptera,"","",hydroptiloidea,hydroptilidae,hydroptilinae,leucotrichiini,"",alisotrichia,"","","",
allocapnia,allocapnia_sp.,3,intolerant,,,shredder,"52,114","",102644,allocapnia,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,euholognatha,"","",capniidae,capniinae,"","",allocapnia,"","","",
allocapnia_vivipara,allocapnia_vivipara,3,intolerant,,,shredder,"52,114","",102657,allocapnia_vivipara,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,euholognatha,"","",capniidae,capniinae,"","",allocapnia,"",allocapnia_vivipara,"",
alloperla,alloperla_sp.,0,intolerant,,,gatherer,"83,114","",103203,alloperla,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,systellognatha,"","",chloroperlidae,chloroperlinae,"","",alloperla,"","","",
almyracuma_proximoculi,almyracuma_proximoculi,5,facultative,,,gatherer,48,"",90979,almyracuma_proximoculi,animalia,bilateria,protostomia,ecdysozoa,arthropoda,crustacea,malacostraca,eumalacostraca,"",peracarida,cumacea,"","","",nannastacidae,"","","",almyracuma,"",almyracuma_proximoculi,"",
almyracuma,almyracuma_sp.,5,facultative,,,gatherer,48,"",90978,almyracuma,animalia,bilateria,protostomia,ecdysozoa,arthropoda,crustacea,malacostraca,eumalacostraca,"",peracarida,cumacea,"","","",nannastacidae,"","","",almyracuma,"","","",
alotanypus_aris,alotanypus_aris,9,tolerant,,,predator,36,alotanypus_sp.,206646,alotanypus,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,"",chironomidae,tanypodinae,coelotanypodini,"",alotanypus,"",alotanypus_aris,"",
alotanypus,alotanypus_sp.,9,tolerant,,,predator,36,"",206646,alotanypus,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,"",chironomidae,tanypodinae,coelotanypodini,"",alotanypus,"","","",
ameletus_ludens,ameletus_ludens,0,intolerant,,,gatherer,"83,34","",101010,ameletus_ludens,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,"",ephemeroptera,pisciforma,"","",ameletidae,"","","",ameletus,"",ameletus_ludens,"",
ameletus,ameletus_sp.,0,intolerant,,,gatherer,83,"",100996,ameletus,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,"",ephemeroptera,pisciforma,"","",ameletidae,"","","",ameletus,"","","",
amnicola_decepta,amnicola_decepta,5,facultative,,,scraper,"83,60",amnicola_lustrica,70747,amnicola,animalia,bilateria,protostomia,lophozoa,mollusca,"",gastropoda,"","","",neotaenioglossa,"","","",hydrobiidae,"","","",amnicola,"",amnicola_decepta,"",
amnicola_granum,amnicola_grana,5,facultative,,,scraper,"60,83","",70772,amnicola_granum,animalia,bilateria,protostomia,lophozoa,mollusca,"",gastropoda,"","","",neotaenioglossa,"","","",hydrobiidae,"","","",amnicola,"",amnicola_granum,"",
amnicola_limosus,amnicola_limosa,5,facultative,,,scraper,"60,83","",70748,amnicola_limosus,animalia,bilateria,protostomia,lophozoa,mollusca,"",gastropoda,"","","",neotaenioglossa,"","","",hydrobiidae,"","","",amnicola,"",amnicola_limosus,"",
amnicola,amnicola_sp.,5,facultative,,,scraper,"60,83","",70747,amnicola,animalia,bilateria,protostomia,lophozoa,mollusca,"",gastropoda,"","","",neotaenioglossa,"","","",hydrobiidae,"","","",amnicola,"","","",
amphichaeta_americana,amphichaeta_americana,6,facultative,,,gatherer,"18,83","",68981,amphichaeta_americana,animalia,bilateria,protostomia,lophozoa,annelida,"",clitellata,tubificata,"","",tubificida,"","","",naididae,naidinae,"","",amphichaeta,"",amphichaeta_americana,"",
amphichaeta,amphichaeta_sp.,6,facultative,,,gatherer,"18,83","",68979,amphichaeta,animalia,bilateria,protostomia,lophozoa,annelida,"",clitellata,tubificata,"","",tubificida,"","","",naididae,naidinae,"","",amphichaeta,"","","",
amphinemura_delosa,amphinemura_delosa,3,intolerant,,,shredder,54,"",102541,amphinemura_delosa,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,euholognatha,"","",nemouridae,amphinemurinae,"","",amphinemura,"",amphinemura_delosa,"",
amphinemura_nigritta,amphinemura_nigritta,3,intolerant,,,shredder,54,"",102542,amphinemura_nigritta,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,euholognatha,"","",nemouridae,amphinemurinae,"","",amphinemura,"",amphinemura_nigritta,"",
